,Unnamed: 0,book_id,authors,original_publication_year,title,language_code,image_url,small_image_url
11,11,12,Veronica Roth,2011.0,"Divergent (Divergent, #1)",eng,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg
12,12,13,"George Orwell, Erich Fromm, Celâl Üster",1949.0,1984,eng,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg
13,13,14,George Orwell,1945.0,Animal Farm,eng,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg
14,14,15,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,The Diary of a Young Girl,eng,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg
15,15,16,"Stieg Larsson, Reg Keeland",2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg
16,16,17,Suzanne Collins,2009.0,"Catching Fire (The Hunger Games, #2)",eng,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg
17,17,18,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",eng,https://images.gr-assets.com/books/1499277281m/5.jpg,https://images.gr-assets.com/books/1499277281s/5.jpg
18,18,19,J.R.R. Tolkien,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg
19,19,20,Suzanne Collins,2010.0,"Mockingjay (The Hunger Games, #3)",eng,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg
20,20,21,"J.K. Rowling, Mary GrandPré",2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg
21,21,22,Alice Sebold,2002.0,The Lovely Bones,eng,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg
22,22,23,"J.K. Rowling, Mary GrandPré",1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg
23,23,24,"J.K. Rowling, Mary GrandPré",2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg
24,24,25,"J.K. Rowling, Mary GrandPré",2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg
25,25,26,Dan Brown,2003.0,"The Da Vinci Code (Robert Langdon, #2)",eng,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg
26,26,27,"J.K. Rowling, Mary GrandPré",2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg
27,27,28,William Golding,1954.0,Lord of the Flies,eng,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg
28,28,29,"William Shakespeare, Robert           Jackson",1595.0,Romeo and Juliet,eng,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg
29,29,30,Gillian Flynn,2012.0,Gone Girl,eng,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg
30,30,31,Kathryn Stockett,2009.0,The Help,eng,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg
31,31,32,John Steinbeck,1937.0,Of Mice and Men,eng,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg
32,32,33,Arthur Golden,1997.0,Memoirs of a Geisha,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
33,33,34,E.L. James,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",eng,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg
34,34,35,"Paulo Coelho, Alan R. Clarke",1988.0,The Alchemist,eng,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg
35,35,36,Lois Lowry,1993.0,"The Giver (The Giver, #1)",eng,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg
36,36,37,C.S. Lewis,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg
37,37,38,Audrey Niffenegger,2003.0,The Time Traveler's Wife,eng,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg
38,38,39,George R.R. Martin,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg
39,39,40,Elizabeth Gilbert,2006.0,"Eat, Pray, Love",eng,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg
40,40,41,Rick Riordan,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg
41,41,42,Louisa May Alcott,1868.0,"Little Women (Little Women, #1)",en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
42,42,43,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,eng,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg
43,43,44,Nicholas Sparks,1996.0,"The Notebook (The Notebook, #1)",eng,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg
44,44,45,Yann Martel,2001.0,Life of Pi,eng,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg
45,45,46,Sara Gruen,2006.0,Water for Elephants,eng,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg
46,46,47,Markus Zusak,2005.0,The Book Thief,eng,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg
47,47,48,Ray Bradbury,1953.0,Fahrenheit 451,spa,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg
48,48,49,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)",eng,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg
49,49,50,Shel Silverstein,1974.0,Where the Sidewalk Ends,eng,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg
50,50,51,Cassandra Clare,2007.0,"City of Bones (The Mortal Instruments, #1)",eng,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg
51,51,52,Stephenie Meyer,2007.0,"Eclipse (Twilight, #3)",en-US,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg
52,52,53,Christopher Paolini,2002.0,"Eragon (The Inheritance Cycle, #1)",en-US,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg
53,53,54,Douglas Adams,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg
54,54,55,Aldous Huxley,1932.0,Brave New World,eng,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg
55,55,56,Stephenie Meyer,2008.0,"Breaking Dawn (Twilight, #4)",en-US,https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg
56,56,57,Sue Monk Kidd,2001.0,The Secret Life of Bees,en-US,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg
57,57,58,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,eng,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg
58,58,59,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,eng,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg
59,59,60,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,eng,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg
60,60,61,Paula Hawkins,2015.0,The Girl on the Train,eng,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg
61,61,62,Philip Pullman,1995.0,"The Golden Compass (His Dark Materials, #1)",eng,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg
62,62,63,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
63,63,64,Jodi Picoult,2004.0,My Sister's Keeper,eng,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg
64,64,65,Kurt Vonnegut Jr.,1969.0,Slaughterhouse-Five,eng,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg
65,65,66,Margaret Mitchell,1936.0,Gone with the Wind,eng,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg
66,66,67,Khaled Hosseini,2007.0,A Thousand Splendid Suns,eng,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg
67,67,68,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,eng,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg
68,68,69,Veronica Roth,2012.0,"Insurgent (Divergent, #2)",eng,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg
69,69,70,Orson Scott Card,1985.0,"Ender's Game (Ender's Saga, #1)",eng,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg
70,70,71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,Frankenstein,eng,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg
71,71,72,Stephen King,1977.0,The Shining (The Shining #1),eng,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg
72,72,73,Stephenie Meyer,2008.0,"The Host (The Host, #1)",en-US,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg
73,73,74,John Green,2005.0,Looking for Alaska,eng,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg
74,74,75,Helen Fielding,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",eng,https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg
75,75,76,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,eng,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg
76,76,77,"Louis Sachar, Louis Sachar",1998.0,"Holes (Holes, #1)",eng,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg
77,77,78,Lauren Weisberger,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
78,78,79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,The Odyssey,eng,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg
79,79,80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,The Little Prince,eng,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg
80,80,81,Jeannette Walls,2005.0,The Glass Castle,eng,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557s/7445.jpg
81,81,82,Jon Krakauer,1996.0,Into the Wild,eng,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg
82,82,83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,eng,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg
83,83,84,Michael Crichton,1990.0,"Jurassic Park (Jurassic Park, #1)",spa,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
84,84,85,Shel Silverstein,1964.0,The Giving Tree,eng,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942s/370493.jpg
85,85,86,John Grisham,1989.0,A Time to Kill,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
86,86,87,"Elie Wiesel, Marion Wiesel",1958.0,Night (The Night Trilogy #1),eng,https://images.gr-assets.com/books/1473495285m/1617.jpg,https://images.gr-assets.com/books/1473495285s/1617.jpg
87,87,88,John Green,2008.0,Paper Towns,en-US,https://images.gr-assets.com/books/1349013610m/6442769.jpg,https://images.gr-assets.com/books/1349013610s/6442769.jpg
88,88,89,William Goldman,1973.0,The Princess Bride ,en-US,https://images.gr-assets.com/books/1327903636m/21787.jpg,https://images.gr-assets.com/books/1327903636s/21787.jpg
89,89,90,S.E. Hinton,1967.0,The Outsiders,en-US,https://images.gr-assets.com/books/1442129426m/231804.jpg,https://images.gr-assets.com/books/1442129426s/231804.jpg
90,90,91,James Dashner,2009.0,"The Maze Runner (Maze Runner, #1)",eng,https://images.gr-assets.com/books/1375596592m/6186357.jpg,https://images.gr-assets.com/books/1375596592s/6186357.jpg
91,91,92,"Steven D. Levitt, Stephen J. Dubner",2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",en-US,https://images.gr-assets.com/books/1327909092m/1202.jpg,https://images.gr-assets.com/books/1327909092s/1202.jpg
92,92,93,Frances Hodgson Burnett,1911.0,The Secret Garden,eng,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635s/2998.jpg
93,93,94,"Gabriel García Márquez, Gregory Rabassa",1967.0,One Hundred Years of Solitude,eng,https://images.gr-assets.com/books/1327881361m/320.jpg,https://images.gr-assets.com/books/1327881361s/320.jpg
94,94,95,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,eng,https://images.gr-assets.com/books/1424596966m/5297.jpg,https://images.gr-assets.com/books/1424596966s/5297.jpg
95,95,96,E.L. James,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",eng,https://images.gr-assets.com/books/1336418837m/13536860.jpg,https://images.gr-assets.com/books/1336418837s/13536860.jpg
96,96,97,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,eng,https://images.gr-assets.com/books/1387151694m/17245.jpg,https://images.gr-assets.com/books/1387151694s/17245.jpg
97,97,98,"Stieg Larsson, Reg Keeland",2006.0,"The Girl Who Played with Fire (Millennium, #2)",eng,https://images.gr-assets.com/books/1351778881m/5060378.jpg,https://images.gr-assets.com/books/1351778881s/5060378.jpg
98,98,99,E.L. James,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",eng,https://images.gr-assets.com/books/1358266080m/11857408.jpg,https://images.gr-assets.com/books/1358266080s/11857408.jpg
99,99,100,Barbara Kingsolver,1998.0,The Poisonwood Bible,eng,https://images.gr-assets.com/books/1412242487m/7244.jpg,https://images.gr-assets.com/books/1412242487s/7244.jpg
100,100,101,David Sedaris,2000.0,Me Talk Pretty One Day,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
101,101,102,Maurice Sendak,1963.0,Where the Wild Things Are,eng,https://images.gr-assets.com/books/1384434560m/19543.jpg,https://images.gr-assets.com/books/1384434560s/19543.jpg
102,102,103,"Alexandre Dumas, Robin Buss",1844.0,The Count of Monte Cristo,eng,https://images.gr-assets.com/books/1309203605m/7126.jpg,https://images.gr-assets.com/books/1309203605s/7126.jpg
103,103,104,Cormac McCarthy,2006.0,The Road,eng,https://images.gr-assets.com/books/1439197219m/6288.jpg,https://images.gr-assets.com/books/1439197219s/6288.jpg
104,104,105,Veronica Roth,2013.0,"Allegiant (Divergent, #3)",eng,https://images.gr-assets.com/books/1395582745m/18710190.jpg,https://images.gr-assets.com/books/1395582745s/18710190.jpg
105,105,106,Tina Fey,2011.0,Bossypants,eng,https://images.gr-assets.com/books/1481509554m/9418327.jpg,https://images.gr-assets.com/books/1481509554s/9418327.jpg
106,106,107,Nicholas Sparks,1999.0,A Walk to Remember,en-US,https://images.gr-assets.com/books/1385738968m/3473.jpg,https://images.gr-assets.com/books/1385738968s/3473.jpg
107,107,108,Sophie Kinsella,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",eng,https://images.gr-assets.com/books/1327872404m/9416.jpg,https://images.gr-assets.com/books/1327872404s/9416.jpg
108,108,109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,eng,https://images.gr-assets.com/books/1411852091m/24280.jpg,https://images.gr-assets.com/books/1411852091s/24280.jpg
109,109,110,George R.R. Martin,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",eng,https://images.gr-assets.com/books/1358254974m/10572.jpg,https://images.gr-assets.com/books/1358254974s/10572.jpg
110,110,111,Kim Edwards,2005.0,The Memory Keeper's Daughter,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
111,111,112,Jojo Moyes,2012.0,"Me Before You (Me Before You, #1)",eng,https://images.gr-assets.com/books/1357108762m/15507958.jpg,https://images.gr-assets.com/books/1357108762s/15507958.jpg
112,112,113,Joseph Heller,1961.0,Catch-22,en-US,https://images.gr-assets.com/books/1463157317m/168668.jpg,https://images.gr-assets.com/books/1463157317s/168668.jpg
113,113,114,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,eng,https://images.gr-assets.com/books/1423763749m/6900.jpg,https://images.gr-assets.com/books/1423763749s/6900.jpg
114,114,115,Jeffrey Eugenides,2002.0,Middlesex,en-US,https://images.gr-assets.com/books/1437029776m/2187.jpg,https://images.gr-assets.com/books/1437029776s/2187.jpg
115,115,116,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,eng,https://images.gr-assets.com/books/1404811979m/24583.jpg,https://images.gr-assets.com/books/1404811979s/24583.jpg
116,116,117,Madeleine L'Engle,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,https://images.gr-assets.com/books/1329061522m/18131.jpg,https://images.gr-assets.com/books/1329061522s/18131.jpg
117,117,118,Amy Tan,1989.0,The Joy Luck Club,eng,https://images.gr-assets.com/books/1304978653m/7763.jpg,https://images.gr-assets.com/books/1304978653s/7763.jpg
118,118,119,Margaret Atwood,1985.0,The Handmaid's Tale,eng,https://images.gr-assets.com/books/1498057733m/38447.jpg,https://images.gr-assets.com/books/1498057733s/38447.jpg
119,119,120,Ann Brashares,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,https://images.gr-assets.com/books/1461611233m/452306.jpg,https://images.gr-assets.com/books/1461611233s/452306.jpg
120,120,121,"Vladimir Nabokov, Craig Raine",1955.0,Lolita,eng,https://images.gr-assets.com/books/1377756377m/7604.jpg,https://images.gr-assets.com/books/1377756377s/7604.jpg
121,121,122,"Gregory Maguire, Douglas Smith",1995.0,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,https://images.gr-assets.com/books/1437733293m/37442.jpg,https://images.gr-assets.com/books/1437733293s/37442.jpg
122,122,123,John Grisham,1991.0,"The Firm (Penguin Readers, Level 5)",eng,https://images.gr-assets.com/books/1418465200m/5358.jpg,https://images.gr-assets.com/books/1418465200s/5358.jpg
123,123,124,Emma Donoghue,2010.0,Room,eng,https://images.gr-assets.com/books/1344265419m/7937843.jpg,https://images.gr-assets.com/books/1344265419s/7937843.jpg
124,124,125,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,Hamlet,eng,https://images.gr-assets.com/books/1351051208m/1420.jpg,https://images.gr-assets.com/books/1351051208s/1420.jpg
125,125,126,Frank Herbert,1965.0,Dune (Dune Chronicles #1),eng,https://images.gr-assets.com/books/1434908555m/234225.jpg,https://images.gr-assets.com/books/1434908555s/234225.jpg
126,126,127,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,eng,https://images.gr-assets.com/books/1473396980m/2612.jpg,https://images.gr-assets.com/books/1473396980s/2612.jpg
127,127,128,Walter Isaacson,2011.0,Steve Jobs,eng,https://images.gr-assets.com/books/1327861368m/11084145.jpg,https://images.gr-assets.com/books/1327861368s/11084145.jpg
128,128,129,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,eng,https://images.gr-assets.com/books/1485308778m/332613.jpg,https://images.gr-assets.com/books/1485308778s/332613.jpg
129,129,130,Ernest Hemingway,1952.0,The Old Man and the Sea,eng,https://images.gr-assets.com/books/1329189714m/2165.jpg,https://images.gr-assets.com/books/1329189714s/2165.jpg
130,130,131,John Steinbeck,1939.0,The Grapes of Wrath,eng,https://images.gr-assets.com/books/1352912927m/4395.jpg,https://images.gr-assets.com/books/1352912927s/4395.jpg
131,131,132,Mitch Albom,2003.0,The Five People You Meet in Heaven,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
132,132,133,L.M. Montgomery,1908.0,"Anne of Green Gables (Anne of Green Gables, #1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
133,133,134,Cassandra Clare,2009.0,"City of Glass (The Mortal Instruments, #3)",en-US,https://images.gr-assets.com/books/1369452339m/3777732.jpg,https://images.gr-assets.com/books/1369452339s/3777732.jpg
134,134,135,George R.R. Martin,2000.0,"A Storm of Swords (A Song of Ice and Fire, #3)",eng,https://images.gr-assets.com/books/1497931121m/62291.jpg,https://images.gr-assets.com/books/1497931121s/62291.jpg
135,135,136,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,en-US,https://images.gr-assets.com/books/1408313524m/137791.jpg,https://images.gr-assets.com/books/1408313524s/137791.jpg
136,136,137,Diana Gabaldon,1991.0,"Outlander (Outlander, #1)",eng,https://images.gr-assets.com/books/1402600310m/10964.jpg,https://images.gr-assets.com/books/1402600310s/10964.jpg
137,137,138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,eng,https://images.gr-assets.com/books/1404810944m/12296.jpg,https://images.gr-assets.com/books/1404810944s/12296.jpg
138,138,139,Ransom Riggs,2011.0,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",en-US,https://images.gr-assets.com/books/1472782916m/9460487.jpg,https://images.gr-assets.com/books/1472782916s/9460487.jpg
