,goodreads_book_id,tag_id,count
5255,424,25150,15
5269,424,8055,11
5292,424,8680,9
5302,428,22034,71
5306,428,8055,50
5345,428,1029,14
5354,428,12948,11
5379,428,18138,8
5395,428,25000,6
5402,431,11557,557
5417,431,21989,84
5422,431,7457,71
5496,431,9638,11
5507,432,8055,32
5563,432,31514,6
5565,432,25167,5
5566,432,18318,5
5570,432,251,5
5573,432,7668,5
5594,432,8545,4
5626,446,20849,14
5663,446,25146,6
5671,446,33777,5
5672,446,603,5
5735,447,18318,7
5757,447,22009,5
5789,447,3358,3
5801,449,11743,272
5841,449,14773,7
5844,449,21437,6
5852,449,3389,5
5858,449,237,5
5873,449,23471,4
5890,449,267,3
5894,449,597,3
5908,456,8055,33
5926,456,22009,10
5967,456,18990,3
5998,456,16999,2
6027,475,30756,30
6049,475,23471,16
6073,475,24526,11
6087,475,14568,10
6137,597,17213,8
6148,597,25147,6
6151,597,19524,6
6152,597,19735,6
6154,597,7668,6
6157,597,23985,6
6265,599,24526,12
6276,599,615,10
6286,599,28031,10
6312,621,23334,17
6331,621,15763,5
6372,621,10700,2
6408,629,22743,365
6432,629,20849,84
6466,629,23334,36
6471,629,28740,33
6482,629,26735,28
6496,629,23680,26
6503,647,8717,368
6528,647,13287,21
6549,647,21685,13
6552,647,10886,12
6632,656,26256,139
6651,656,15169,79
6688,656,371,49
6743,662,18326,90
6772,662,3379,50
6848,665,11930,9
6883,665,23458,4
6897,665,25262,3
6900,667,30574,7047
6964,667,26752,32
6966,667,25191,31
7009,668,26371,45
7014,668,22753,34
7074,668,23465,6
7107,676,23816,16
7115,676,20849,8
7123,676,26735,5
7132,676,11503,4
7141,676,12315,3
7162,676,27535,2
7204,698,1629,66
7212,698,1659,34
7267,698,2313,6
7279,698,27535,5
7326,703,8055,42
7330,703,23444,39
7333,703,26771,38
7336,703,31656,34
7339,703,10064,33
7354,703,20774,21
7377,703,18318,13
7381,703,25153,12
7390,703,18292,11
7422,706,22753,35
7430,706,21685,24
7465,706,14064,10
7562,760,25152,15
7580,760,3392,12
7585,760,17638,12
7598,760,1847,10
7623,771,10197,33
7627,771,26868,30
7629,771,1416,28
7642,771,15169,20
7648,771,26865,18
7653,771,21732,17
7661,771,24714,15
7708,816,26894,369
7711,816,14467,189
7732,816,10210,70
7738,816,31505,60
7741,816,3358,55
7752,816,29418,39
7828,822,10197,24
7857,822,28610,14
7891,822,3371,7
7901,823,8717,1961
7919,823,27398,56
7935,823,9477,34
7955,823,30672,18
7964,823,14484,16
7975,823,14539,14
7986,823,27364,12
7991,823,27403,11
7999,823,2186,10
8071,825,25106,5
8086,825,1559,4
8117,827,28300,86
8150,827,24960,27
8154,827,31505,25
8159,827,9484,22
8176,827,6122,18
8195,827,30804,14
8201,830,8717,3929
8206,830,8755,1424
8293,830,11287,26
8338,840,28064,19
8347,840,10197,16
8350,840,18045,15
8353,840,17807,15
8356,840,23040,14
8377,840,20731,10
8383,840,7457,9
8385,840,22689,9
8390,840,9484,9
8391,840,9375,9
8424,865,18919,405
8427,865,1659,358
8436,865,9221,265
8439,865,25647,238
8454,865,11505,175
8506,870,26837,100
8511,870,19083,80
8546,870,7806,20
8581,870,27646,10
8584,870,12659,10
8594,870,25153,8
8597,870,19127,8
8598,870,19086,8
8601,880,14487,1215
8605,880,14552,178
8617,880,9221,40
8650,880,15169,13
8651,880,611,13
8664,880,1659,10
8668,880,25150,9
8672,880,9886,8
8673,880,30672,8
8686,880,26131,7
8698,880,24996,5
8729,890,18326,324
8747,890,26752,215
8779,890,3389,118
8787,890,22027,108
8801,900,8717,751
8802,900,21689,418
8868,900,12680,6
8902,902,11557,1974
8910,902,21457,370
8918,902,26735,219
8931,902,6960,104
8935,902,6914,96
8958,902,3389,55
8978,902,21472,43
8980,902,6977,40
9000,903,30574,8440
9048,903,33165,19
9096,903,5231,9
9105,930,26138,1785
9140,930,11505,205
9169,930,11780,106
9215,952,11221,14
9225,952,22689,11
9229,952,23334,10
9233,952,17124,8
9241,952,23343,7
9267,952,3358,4
9281,952,895,4
9287,952,22753,3
9288,952,5444,3
9291,952,21739,3
9292,952,29316,3
9312,960,14487,822
9357,960,22689,144
9363,960,30381,123
9389,960,1128,84
9436,968,8020,285
9439,968,5090,260
9470,968,3392,145
9475,968,10210,133
9484,968,3371,117
9489,968,5444,110
9511,976,1691,384
9585,976,14752,32
9590,976,11497,29
9610,998,10245,107
9614,998,27111,71
9618,998,23353,48
9669,998,27077,8
9675,998,11943,8
9782,1005,27123,12
9813,1032,17780,14
9820,1032,20849,10
9851,1032,23256,4
9864,1032,25506,3
9866,1032,20731,3
9867,1032,23909,3
9883,1032,11,3
9890,1032,31528,2
9942,1052,14552,15
9947,1052,4949,12
9967,1052,25153,8
10009,1067,2323,223
10031,1067,2271,54
10043,1067,1416,35
10044,1067,14521,35
10088,1067,22733,18
10090,1067,1669,17
10100,1078,30574,1413
10115,1078,3389,112
10147,1078,26740,50
10152,1078,24642,48
10175,1078,20824,32
10184,1078,11643,30
10198,1078,206,24
10205,1097,14134,416
10220,1097,4949,64
10253,1097,32586,30
10271,1097,603,22
10291,1097,10316,17
10300,1103,30574,136892
10302,1103,11743,2442
10326,1103,4968,99
10352,1103,20824,51
10373,1103,9221,34
10419,1110,22034,51
10438,1110,12948,27
10461,1110,29083,16
10464,1110,22689,15
10500,1171,30574,13446
10506,1171,14552,113
10537,1171,30620,13
10538,1171,15764,13
10590,1171,3877,7
10603,1191,8717,54
10604,1191,12175,39
10620,1191,32586,3
10629,1191,9107,3
10635,1191,8636,2
10666,1191,8135,1
10689,1191,22947,1
10726,1192,8114,6
10728,1192,8204,5
10744,1192,8635,3
10766,1192,15417,2
10774,1192,30647,2
10781,1192,8170,2
10795,1192,23080,1
10821,1202,8683,147
10865,1202,5481,54
10875,1202,28014,46
10882,1202,27199,42
10884,1202,8055,42
10886,1202,30339,42
10904,1232,14487,2973
10911,1232,11590,744
10940,1232,28269,174
10941,1232,2104,172
10951,1232,9886,143
10983,1232,25150,86
11012,1241,24526,116
11017,1241,5051,76
11021,1241,1416,67
11041,1241,25523,37
11103,1274,27095,736
11127,1274,25562,32
11146,1274,3392,20
11150,1274,23171,20
11192,1274,9949,11
11298,1295,3407,20
11393,1301,9484,9
11396,1301,30620,9
11415,1303,23334,87
11426,1303,20849,32
11461,1303,7457,14
11464,1303,15339,14
11542,1305,22753,11
11573,1305,10932,6
11578,1305,24247,6
11586,1305,25106,5
11600,1307,30574,896
11617,1307,26897,16
11642,1307,11290,7
11688,1307,24993,3
11695,1307,22363,3
11724,1319,8471,40
11754,1319,8433,18
11761,1319,3392,15
11762,1319,9477,15
11791,1319,20104,11
11806,1362,2435,165
11833,1362,25562,30
11844,1362,2438,22
11850,1362,13642,20
11852,1362,13661,19
11859,1362,2705,16
11862,1362,1416,15
11883,1362,23349,11
11888,1362,1642,10
11906,1371,7404,1327
11931,1371,26256,143
11944,1371,14370,101
11948,1371,13654,96
11955,1371,10210,79
11982,1371,1659,54
11996,1371,7390,41
12020,1375,7423,30
12059,1375,30573,9
12081,1375,29011,6
12089,1375,25647,6
12117,1381,7423,456
12125,1381,9221,324
12179,1381,23349,77
12208,1420,7404,2232
12209,1420,26735,1629
12247,1420,7422,158
12260,1420,5090,109
12261,1420,22034,104
12269,1420,10641,96
12275,1420,1659,92
12289,1420,12290,81
12293,1420,18292,76
12325,1426,10094,16
12327,1426,23150,15
12348,1426,15392,7
12363,1426,25150,5
12374,1426,11928,5
12382,1426,22753,4
12383,1426,24960,4
12405,1427,22034,117
12409,1427,26138,72
12432,1427,9886,19
12451,1427,5655,12
12468,1427,22816,9
12570,1428,20781,10
12586,1428,10862,9
12632,1430,8067,37
12653,1430,23465,21
12654,1430,20125,21
12662,1430,15392,18
12687,1430,1416,12
12713,1431,9221,89
12737,1431,1416,42
12763,1431,17639,24
12798,1431,19524,15
12836,1519,2425,28
12891,1519,21011,9
12901,1524,7457,335
12908,1524,13646,44
12912,1524,11557,26
12913,1524,31103,22
12917,1524,23831,16
12936,1524,31535,8
12964,1524,25146,4
12988,1524,13642,3
12994,1524,28510,3
13066,1540,11590,14
13102,1554,26735,609
13116,1554,29412,87
13149,1554,2431,30
13164,1554,10932,22
13181,1554,13642,20
13190,1554,5481,17
13214,1591,7725,58
13223,1591,25114,28
13255,1591,30521,11
13304,1617,7457,3905
13320,1617,26740,415
13351,1617,20774,133
13357,1617,25152,122
13370,1617,22449,94
13394,1617,9147,70
13425,1618,14764,63
13428,1618,11590,58
13446,1618,3250,47
13516,1622,30208,556
13528,1622,14370,211
13572,1622,22689,62
13573,1622,25150,61
13632,1624,4568,18
13689,1624,3598,7
13699,1624,7693,6
13708,1625,7404,614
13764,1625,25191,33
13768,1625,31514,32
13783,1625,25149,22
13819,1627,1659,53
13827,1627,8067,35
13829,1627,8421,34
13837,1627,923,26
13850,1627,27656,18
13871,1627,22034,13
13887,1627,11644,11
13934,1633,22753,30
13942,1633,13744,27
13955,1633,10700,20
13974,1633,27535,15
13977,1633,21374,15
13990,1633,24999,13
14013,1635,27111,19
14016,1635,5990,17
14051,1635,30571,4
14068,1635,14927,3
14084,1635,22441,3
14096,1635,860,2
14128,1715,27669,43
14146,1715,13646,30
14154,1715,17213,26
14164,1715,14487,23
14193,1715,32355,16
14210,1823,28052,41
14218,1823,14552,24
14225,1823,31155,13
14227,1823,9221,12
14230,1823,19733,12
14249,1823,25153,7
14259,1823,21766,6
14265,1823,1642,5
14270,1823,722,5
14321,1824,3371,19
14347,1824,10644,7
14354,1824,31656,6
14422,1842,9221,75
14455,1842,28740,39
14459,1842,27535,37
14462,1842,17213,36
14464,1842,10233,36
14466,1842,25114,33
14500,1845,30574,144278
14521,1845,30521,203
14572,1845,5090,55
14575,1845,2313,53
14588,1845,25506,45
14633,1846,24526,19
14641,1846,20133,14
14655,1846,4434,9
14656,1846,3392,8
14679,1846,16504,6
14684,1846,32586,5
14741,1848,19738,37
14745,1848,7027,34
14747,1848,10644,31
14766,1848,1416,22
14773,1848,11665,21
14795,1848,3230,16
14816,1849,16500,25
14895,1849,11833,3
14904,1852,7404,1081
14914,1852,17213,256
14923,1852,22753,161
14940,1852,3885,96
14964,1852,1542,64
14970,1852,6960,57
14980,1852,3379,46
14983,1852,26754,45
15024,1869,5207,51
15033,1869,12315,43
15066,1869,10891,23
15135,1875,11557,20
15143,1875,12568,14
15151,1875,11928,12
15163,1875,12567,9
15168,1875,24107,9
15194,1875,14606,6
15208,1885,14487,2813
15230,1885,5776,629
15266,1885,29716,310
15275,1885,28525,252
15300,1897,30574,2913
15314,1897,19733,18
15319,1897,20537,14
15320,1897,14552,13
15332,1897,11061,8
15370,1897,2687,3
15378,1897,21690,3
15385,1897,25153,2
15420,1898,30521,71
15435,1898,3392,42
15445,1898,29076,33
15461,1898,8055,28
15465,1898,4611,27
15484,1898,3616,22
15506,1911,21773,538
15508,1911,22743,196
15560,1911,15706,17
15561,1911,14612,17
15569,1911,27556,15
15588,1911,25242,12
15602,1934,7457,20533
15603,1934,11557,7377
15616,1934,6857,659
15710,1953,17213,674
15714,1953,7423,501
15735,1953,9221,229
15757,1953,24960,162
15770,1953,251,118
15791,1953,18292,83
15839,1990,23233,13
15841,1990,20849,11
15921,2002,16427,11
15941,2002,27535,6
15968,2002,1128,3
15995,2002,31430,2
16007,2049,22743,53
16033,2049,8536,13
16034,2049,18589,13
16124,2050,3392,33
16203,2052,240,191
16210,2052,2277,141
16306,2054,7457,163
16319,2054,4949,41
16379,2054,19309,12
16387,2054,3379,9
16431,2067,4631,10
16471,2067,7623,4
16472,2067,26867,4
16483,2067,4949,3
16508,2068,11557,48
16519,2068,10197,10
16534,2068,8981,6
16581,2068,5393,3
16620,2094,28659,26
16650,2094,30444,8
16669,2094,4859,6
16683,2094,28626,5
16720,2095,31533,19
16756,2095,21732,8
16769,2095,14064,6
16786,2095,1511,5
16837,2122,18318,71
16874,2122,2312,39
16893,2122,20288,29
16909,2137,24728,57
16912,2137,22743,44
16936,2137,32586,15
16954,2137,13272,10
16963,2137,19524,8
16973,2137,923,7
16987,2137,5412,6
17001,2142,8717,63
17033,2142,9239,8
17040,2142,3389,5
17061,2142,30373,4
17105,2152,26138,242
17131,2152,20774,33
17135,2152,30521,30
17176,2152,4076,15
17189,2152,17213,12
17225,2156,25596,300
17233,2156,15169,221
17251,2156,10658,154
17271,2156,25150,93
17289,2156,25149,77
17298,2156,27535,70
17311,2159,22743,71
17332,2159,22753,16
17347,2159,4561,11
17382,2159,12353,8
17397,2159,28032,6
17407,2165,5207,687
17452,2165,21662,121
17469,2165,33114,86
17479,2165,11497,78
17490,2165,21660,65
17509,2175,5207,628
17513,2175,509,415
17522,2175,7423,212
17542,2175,10210,98
17562,2175,18318,64
17563,2175,254,63
17571,2175,3371,55
17579,2175,32586,51
17626,2183,22753,20
17634,2183,12503,18
17680,2183,20811,7
17761,2187,31656,99
17784,2187,8346,68
17809,2199,7343,322
17813,2199,22743,157
17854,2199,3379,28
17857,2199,14612,28
17916,2203,31647,106
17928,2203,3371,67
17931,2203,4611,62
17938,2203,17213,49
17983,2203,30693,23
18002,2255,11557,214
18005,2255,28341,160
18046,2255,32582,9
18081,2255,5481,5
18082,2255,9375,5
18138,2265,10210,9
18143,2265,5481,8
18156,2265,25242,6
18172,2265,5090,4
18183,2265,23349,4
18189,2265,605,4
18210,2279,4615,62
18259,2279,19738,13
18295,2279,14602,7
18307,2368,24246,92
18326,2368,4611,15
18331,2368,30521,12
18332,2368,14557,12
18337,2368,24241,11
18351,2368,31416,7
18396,2368,4621,4
18426,2371,2277,11
18447,2371,25148,7
18473,2371,14452,5
18474,2371,23686,5
18480,2371,25151,4
18535,2372,22753,9
18558,2372,3379,6
18561,2372,9477,6
18564,2372,14631,6
18573,2372,14625,5
18596,2372,14592,3
18635,2373,8055,32
18641,2373,18223,24
18665,2373,8518,14
18666,2373,20991,14
18689,2373,9360,10
18753,2430,9949,2
18760,2430,22707,2
18765,2430,33357,2
18802,2442,15048,654
18815,2442,27199,124
18862,2442,27412,23
18897,2442,11148,14
18924,2493,509,239
18949,2493,11590,97
18993,2493,24051,43
19000,2517,30574,27830
19005,2517,20939,233
19025,2517,9221,54
19037,2517,15858,31
19047,2517,2928,25
19077,2517,3392,13
19105,2526,26837,556
19109,2526,18367,358
19132,2526,8067,98
19133,2526,11497,96
19218,2528,31133,22
19221,2528,4949,19
19231,2528,18367,13
19232,2528,4461,13
19257,2528,28261,7
19273,2528,18338,5
19278,2528,25151,4
19321,2530,21989,28
19345,2530,21660,12
19346,2530,20774,11
19376,2530,30521,7
19390,2530,1078,6
19391,2530,26754,6
19406,2547,28384,529
19447,2547,32586,34
19454,2547,20731,29
19461,2547,14764,24
19473,2547,24526,20
19507,2612,28052,659
19513,2612,3389,234
19560,2612,31505,51
19562,2612,10891,49
19581,2612,1713,39
19637,2615,28693,17
19656,2615,5975,10
19658,2615,9318,9
19686,2615,10256,6
19707,2623,22743,1332
19721,2623,9468,353
19725,2623,25114,319
19748,2623,1659,171
19760,2623,18318,126
19772,2623,25761,91
19778,2623,10657,84
19814,2657,14467,1362
19819,2657,26740,1029
19839,2657,25438,584
19855,2657,15169,439
19866,2657,25011,363
19879,2657,30590,309
19889,2657,25150,247
19912,2666,5207,84
19920,2666,12948,51
19947,2666,3392,22
19998,2666,5444,8
20019,2677,251,19
20032,2677,10658,10
20037,2677,14467,8
20082,2677,18045,3
20095,2677,25110,3
20113,2696,5751,163
20159,2696,30573,40
20161,2696,18326,39
20167,2696,12948,34
20177,2696,13613,30
20181,2696,31430,29
20295,2715,8150,10
20303,2743,4605,244
20307,2743,3611,114
20310,2743,22743,101
20321,2743,33114,38
20322,2743,31264,37
20337,2743,26459,17
20338,2743,21989,15
20342,2743,22034,14
20345,2743,25423,13
20349,2743,6857,11
20359,2743,2158,10
20414,2744,17213,216
20436,2744,3379,101
20452,2744,4949,65
20460,2744,27412,54
20474,2744,25150,43
20497,2744,31505,33
20541,2748,20774,9
20590,2748,6122,4
20592,2748,8069,4
20595,2748,27011,4
20624,2767,31505,72
20662,2767,10316,27
20668,2767,21788,25
20718,2784,5207,33
20728,2784,3120,21
20770,2784,2967,8
20772,2784,2950,8
20837,2794,261,46
20892,2794,5090,17
20897,2794,32686,16
20907,2839,7457,1294
20939,2839,18851,151
20968,2839,25034,76
20971,2839,3677,72
21000,2865,30574,177278
21016,2865,18367,184
21019,2865,7404,135
21021,2865,5051,124
21028,2865,18326,102
21051,2865,31075,54
21052,2865,20570,52
21057,2865,10644,48
21120,2872,9221,19
21130,2872,22034,13
21132,2872,941,13
21158,2872,10210,8
21196,2872,22643,5
21210,2873,20939,50
21219,2873,1659,24
21234,2873,615,13
21237,2873,611,13
21274,2873,11505,6
21281,2873,25438,6
21283,2873,4985,6
21298,2873,1684,5
21300,2879,30574,1608
21346,2879,29452,4
21377,2879,1642,2
21401,2880,19052,3914
21415,2880,1540,69
21439,2880,13575,17
21462,2880,2595,12
21497,2880,25093,6
21550,2915,5709,10
21609,2932,18367,492
21613,2932,22753,215
21620,2932,26735,170
21667,2932,24960,44
21702,2956,11743,7519
21705,2956,30574,1820
21720,2956,7423,492
21732,2956,26256,309
21733,2956,2312,302
21753,2956,15169,191
21781,2956,6960,123
21814,2978,26837,20
21829,2978,420,12
21833,2978,18326,11
21838,2978,1642,9
21854,2978,26735,7
21857,2978,31668,7
21867,2978,3392,5
21893,2978,3358,4
21910,2998,6888,1339
21918,2998,6960,590
21929,2998,6914,284
21937,2998,9221,229
21940,2998,33165,208
21975,2998,17090,110
21978,2998,6973,105
21982,2998,25033,100
21987,2998,29716,90
22019,3008,6960,284
22056,3008,11505,68
22059,3008,4834,67
22065,3008,30635,63
22122,3028,18036,18
22131,3028,17213,12
22167,3028,19524,5
22211,3049,21024,169
22220,3049,7423,63
22243,3049,10644,29
22312,3061,9221,6
22331,3061,14064,2
22337,3061,30577,2
22361,3061,15686,1
22366,3061,5173,1
22370,3061,31002,1
22371,3061,27873,1
22420,3087,5776,130
22439,3087,21989,74
22451,3087,5775,57
22491,3087,23233,27
22501,3102,11743,1082
22513,3102,923,103
22535,3102,10644,36
22554,3102,32586,26
22578,3102,15169,15
22591,3102,11798,14
22635,3103,1659,22
22650,3103,18013,16
22674,3103,12879,11
22697,3103,18006,8
22726,3109,3371,94
22728,3109,30755,89
22734,3109,2705,78
22766,3109,22689,38
22772,3109,16651,35
22813,3110,3371,91
22823,3110,14467,36
22836,3110,11643,20
22837,3110,9484,20
22839,3110,617,20
22843,3110,25147,17
22844,3110,3358,17
22859,3110,2335,14
22872,3110,21739,12
22881,3110,18217,11
22912,3273,1659,90
22913,3273,1642,88
22924,3273,509,35
22941,3273,12948,23
22967,3273,25149,16
22998,3273,4972,12
23014,3291,14487,19
23048,3291,4461,6
23066,3291,10644,4
23078,3291,15409,4
23079,3291,17659,4
23101,3300,8717,550
23119,3300,22753,22
23136,3300,1642,12
23139,3300,3392,11
23170,3300,21374,6
23185,3300,4985,5
23191,3300,17878,5
23202,3304,11305,464
23216,3304,6953,32
23238,3304,29452,15
23265,3304,33124,10
23269,3304,2223,10
23303,3368,31678,292
23386,3368,12329,8
23415,3378,7457,31
23462,3378,6163,9
23465,3378,6187,8
23473,3378,7725,7
23506,3379,22743,47
23524,3379,6190,10
23621,3381,1659,12
23622,3381,21989,11
23638,3381,6185,7
23676,3381,11505,3
23678,3381,615,3
23681,3381,5444,3
23682,3381,2271,3
23728,3384,6189,12
23737,3384,1642,9
23748,3384,4949,7
23750,3384,6163,7
23754,3384,5444,6
23772,3384,11497,4
23775,3384,7852,4
23839,3388,27535,18
23847,3388,32586,16
23852,3388,18664,15
23865,3388,12869,11
23867,3388,20570,11
23885,3388,1078,9
23906,3412,11590,116
23955,3412,4017,17
23983,3412,32708,13
23993,3412,13027,12
24053,3431,4985,43
24060,3431,25630,36
24063,3431,11491,34
24096,3431,1416,26
24100,3446,30574,5648
24133,3446,18318,9
24148,3446,18919,6
24160,3446,27535,5
24220,3447,31885,20
24229,3447,12315,13
24315,3462,8076,72
24338,3462,5180,24
24341,3462,6729,22
24353,3462,18851,19
24368,3462,10093,15
24433,3463,21530,31
24438,3463,8067,26
24514,3464,20774,75
24520,3464,30521,49
24521,3464,20939,48
24523,3464,18640,45
24532,3464,28277,28
24533,3464,3389,27
24535,3464,18663,26
24561,3464,6729,14
24580,3464,20824,10
24602,3465,21689,324
24613,3465,11743,67
24644,3465,3392,12
24645,3465,11497,11
24673,3465,31264,7
24679,3465,33777,6
24683,3465,4568,6
24705,3466,11557,622
24706,3466,5207,459
24727,3466,10210,41
24739,3466,32586,31
24803,3467,10064,542
24826,3467,19983,56
24843,3467,5090,34
24855,3467,3377,26
24866,3467,33023,23
24871,3467,32996,19
24880,3467,22689,17
24895,3467,32130,15
24901,3473,22743,471
25004,3476,22456,82
25021,3476,20774,15
25050,3476,22344,7
25070,3476,4967,5
25088,3476,487,4
25132,3478,11590,37
25133,3478,10197,37
25140,3478,18851,31
25160,3478,11497,20
25179,3478,26162,17
25215,3483,1659,54
25222,3483,12948,43
25228,3483,30521,38
25239,3483,25506,25
25249,3483,1510,20
25252,3483,603,19
25254,3483,11643,18
25265,3483,20989,15
25284,3483,2313,11
25293,3483,2271,10
25327,3507,20989,71
25345,3507,10210,37
25352,3507,20849,29
25398,3507,15094,16
25434,3559,20849,9
25444,3559,30521,6
25503,3562,11557,472
25518,3562,17525,94
25527,3562,16799,35
25583,3562,22526,12
25603,3579,6895,115
25604,3579,6828,108
25642,3579,15169,14
25653,3579,1489,11
25658,3579,6837,11
25671,3579,6841,9
25678,3579,33150,8
25685,3579,33125,7
25698,3579,30672,6
25701,3581,8717,1864
25705,3581,11743,252
25717,3581,18367,32
25724,3581,11590,22
25734,3581,14467,12
25750,3581,7478,9
25754,3581,25167,7
25794,3581,22363,5
25870,3586,24960,6
25881,3586,5746,6
25882,3586,5775,6
25901,3590,7457,4843
25926,3590,11590,163
25946,3590,20774,87
25948,3590,18045,85
25956,3590,5090,70
25961,3590,10658,61
25962,3590,1659,60
25984,3590,22333,44
26101,3648,8717,567
26106,3648,8067,51
26108,3648,1416,41
26114,3648,5413,27
26136,3648,1642,12
26137,3648,12869,12
26149,3648,14487,8
26154,3648,17213,7
26172,3648,603,6
26181,3648,20781,5
26186,3648,11978,5
26196,3648,587,5
26236,3656,272,22
26239,3656,32586,21
26306,3679,22743,199
26386,3679,8069,15
26388,3679,22352,14
26393,3679,9638,14
26413,3682,20939,363
26442,3682,1416,101
26466,3682,33153,69
26516,3685,17124,245
26531,3685,6920,94
26532,3685,6914,93
26534,3685,6847,90
26561,3685,11305,47
26569,3685,3358,41
26595,3685,12614,28
26631,3686,1642,18
26677,3686,3379,7
26701,3690,11743,991
26730,3690,5776,28
26763,3690,5746,13
26815,3692,20292,42
26830,3692,261,23
26861,3692,30471,10
26920,3698,21989,65
26947,3698,31885,25
26955,3698,18318,20
26956,3698,272,20
26960,3698,31155,19
26963,3698,8067,17
26971,3698,31430,16
26978,3698,20849,13
26979,3698,5090,13
